yesMeatAlt,noMeatAlt,income,gender,age,race
1,0," $15,000 - $19,999 ", MALE , 25 - 34 ,HISPANIC OR LATINO  
1,0," $15,000 - $19,999 ", MALE , 25 - 34 ,HISPANIC OR LATINO  
1,0," $15,000 - $19,999 ", MALE , 25 - 34 ,HISPANIC OR LATINO  
1,0," $15,000 - $19,999 ", MALE , 25 - 34 ,HISPANIC OR LATINO  
1,0," $15,000 - $19,999 ", MALE , 25 - 34 ,HISPANIC OR LATINO  
1,0," $15,000 - $19,999 ", MALE , 25 - 34 ,HISPANIC OR LATINO  
0,1," $15,000 - $19,999 ", MALE , 25 - 34 ,HISPANIC OR LATINO  
0,1," $15,000 - $19,999 ", MALE , 25 - 34 ,HISPANIC OR LATINO  
0,1," $15,000 - $19,999 ", MALE , 25 - 34 ,HISPANIC OR LATINO  
0,1," $15,000 - $19,999 ", MALE , 25 - 34 ,HISPANIC OR LATINO  
0,1," $15,000 - $19,999 ", MALE , 25 - 34 ,HISPANIC OR LATINO  
0,1," $15,000 - $19,999 ", MALE , 25 - 34 ,HISPANIC OR LATINO  
0,1," $15,000 - $19,999 ", MALE , 25 - 34 ,HISPANIC OR LATINO  
0,1," $15,000 - $19,999 ", MALE , 25 - 34 ,HISPANIC OR LATINO  
0,1," $15,000 - $19,999 ", MALE , 25 - 34 ,HISPANIC OR LATINO  
0,1," $15,000 - $19,999 ", MALE , 25 - 34 ,HISPANIC OR LATINO  
0,1," $15,000 - $19,999 ", MALE , 25 - 34 ,HISPANIC OR LATINO  
1,0," $15,000 - $19,999 ", MALE , 35 - 44 ,"WHITE, NON-HISPANIC  "
1,0," $15,000 - $19,999 ", MALE , 35 - 44 ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 35 - 44 ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 35 - 44 ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 35 - 44 ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 35 - 44 ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 35 - 44 ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 35 - 44 ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 35 - 44 ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 35 - 44 ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 35 - 44 ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 35 - 44 ,"WHITE, NON-HISPANIC  "
1,0," $15,000 - $19,999 ", MALE , 35 - 44 ,"BLACK, NON-HISPANIC  "
1,0," $15,000 - $19,999 ", MALE , 35 - 44 ,"BLACK, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 35 - 44 ,"BLACK, NON-HISPANIC  "
1,0," $15,000 - $19,999 ", MALE , 35 - 44 ,"ASIAN, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 35 - 44 ,"ASIAN, NON-HISPANIC  "
1,0," $15,000 - $19,999 ", MALE , 35 - 44 ,HISPANIC OR LATINO  
1,0," $15,000 - $19,999 ", MALE , 35 - 44 ,HISPANIC OR LATINO  
1,0," $15,000 - $19,999 ", MALE , 35 - 44 ,HISPANIC OR LATINO  
1,0," $15,000 - $19,999 ", MALE , 35 - 44 ,HISPANIC OR LATINO  
1,0," $15,000 - $19,999 ", MALE , 35 - 44 ,HISPANIC OR LATINO  
1,0," $15,000 - $19,999 ", MALE , 35 - 44 ,HISPANIC OR LATINO  
